The Martian 2015 1080p BluRay H264 AAC-RARBG, magnet:?xt=urn:btih:F54B36ABA5F4FD0C64A3CB95D83D44F833DEB5D7&dn=the+martian+2015+1080p+bluray+h264+aac+rarbg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/F54B36ABA5F4FD0C64A3CB95D83D44F833DEB5D7.torrent?title=[kat.cr]the.martian.2015.1080p.bluray.h264.aac.rarbg, 2.74 GB, Seeders: 7089, Leechers: 3537, Updated at: 04 Jan 2016, 07:59, Uploaded at: 30 Dec 2015, 00:03,
In The Heart of the Sea 2015 DVDScr XVID AC3 HQ Hive-CM8, magnet:?xt=urn:btih:8DFC994F9313425E099D804C9886DBDCA9B9E8DF&dn=in+the+heart+of+the+sea+2015+dvdscr+xvid+ac3+hq+hive+cm8&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/8DFC994F9313425E099D804C9886DBDCA9B9E8DF.torrent?title=[kat.cr]in.the.heart.of.the.sea.2015.dvdscr.xvid.ac3.hq.hive.cm8, 1.78 GB, Seeders: 6699, Leechers: 3179, Updated at: 04 Jan 2016, 08:29, Uploaded at: 21 Dec 2015, 04:30,
Straight Outta Compton 2015 TRUEFRENCH WEBRip XviD-ViVi avi, magnet:?xt=urn:btih:08A8981296AEDE1BFD46DE2C5819F60A8B0935DD&dn=straight+outta+compton+2015+truefrench+webrip+xvid+vivi+avi&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/08A8981296AEDE1BFD46DE2C5819F60A8B0935DD.torrent?title=[kat.cr]straight.outta.compton.2015.truefrench.webrip.xvid.vivi.avi, 1.28 GB, Seeders: 8001, Leechers: 1274, Updated at: 04 Jan 2016, 08:14, Uploaded at: 31 Dec 2015, 00:17,
Inside Out (2015) 720p BrRip x264 - YIFY, magnet:?xt=urn:btih:4B3DCE31C713B02726F67E2EF49DE9FF965EC3B7&dn=inside+out+2015+720p+brrip+x264+yify&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/4B3DCE31C713B02726F67E2EF49DE9FF965EC3B7.torrent?title=[kat.cr]inside.out.2015.720p.brrip.x264.yify, 754.69 MB, Seeders: 7621, Leechers: 623, Updated at: 04 Jan 2016, 08:14, Uploaded at: 20 Oct 2015, 00:15,
Burnt 2015 BRRip XViD-ETRG, magnet:?xt=urn:btih:DB7188EBC63A368DD258FC9D42E1AD7CC1ACCC0F&dn=burnt+2015+brrip+xvid+etrg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/DB7188EBC63A368DD258FC9D42E1AD7CC1ACCC0F.torrent?title=[kat.cr]burnt.2015.brrip.xvid.etrg, 707.48 MB, Seeders: 7258, Leechers: 2775, Updated at: 04 Jan 2016, 07:59, Uploaded at: 30 Dec 2015, 10:45,
Maze Runner The Scorch Trials 2015 1080p BluRay H264 AAC-RARBG, magnet:?xt=urn:btih:505436DCE9267CB209C62E45C092070118934BE4&dn=maze+runner+the+scorch+trials+2015+1080p+bluray+h264+aac+rarbg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/505436DCE9267CB209C62E45C092070118934BE4.torrent?title=[kat.cr]maze.runner.the.scorch.trials.2015.1080p.bluray.h264.aac.rarbg, 2.52 GB, Seeders: 6075, Leechers: 2947, Updated at: 04 Jan 2016, 08:29, Uploaded at: 19 Nov 2015, 11:11,
Joy 2015 DVDScr XVID AC3 HQ Hive-CM8, magnet:?xt=urn:btih:247383F16C7B57FAE31179749CB41B72FE9DEAE7&dn=joy+2015+dvdscr+xvid+ac3+hq+hive+cm8&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/247383F16C7B57FAE31179749CB41B72FE9DEAE7.torrent?title=[kat.cr]joy.2015.dvdscr.xvid.ac3.hq.hive.cm8, 1.48 GB, Seeders: 5121, Leechers: 2285, Updated at: 04 Jan 2016, 07:59, Uploaded at: 21 Dec 2015, 09:59,
Ant Man 2015 720p HDRip x264 AAC-ETRG, magnet:?xt=urn:btih:41F6353B6BF3ED1D44DD15755A0F6DBD7C91B114&dn=ant+man+2015+720p+hdrip+x264+aac+etrg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/41F6353B6BF3ED1D44DD15755A0F6DBD7C91B114.torrent?title=[kat.cr]ant.man.2015.720p.hdrip.x264.aac.etrg, 919.81 MB, Seeders: 6359, Leechers: 499, Updated at: 04 Jan 2016, 08:29, Uploaded at: 05 Nov 2015, 11:30,
The Martian 2015 1080p WEB-DL x264 AC3-JYK, magnet:?xt=urn:btih:9B5458565AD6B5E66273F92A17009EA4D6AD1C6C&dn=the+martian+2015+1080p+web+dl+x264+ac3+jyk&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/9B5458565AD6B5E66273F92A17009EA4D6AD1C6C.torrent?title=[kat.cr]the.martian.2015.1080p.web.dl.x264.ac3.jyk, 3.9 GB, Seeders: 5761, Leechers: 1092, Updated at: 04 Jan 2016, 08:29, Uploaded at: 22 Dec 2015, 06:46,
Avengers: Age of Ultron (2015) 1080p BrRip x264 - YIFY, magnet:?xt=urn:btih:92B4D5EA2D21BC2692A2CB1E5B9FBECD489863EC&dn=avengers+age+of+ultron+2015+1080p+brrip+x264+yify&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/92B4D5EA2D21BC2692A2CB1E5B9FBECD489863EC.torrent?title=[kat.cr]avengers.age.of.ultron.2015.1080p.brrip.x264.yify, 2.05 GB, Seeders: 5590, Leechers: 673, Updated at: 04 Jan 2016, 08:44, Uploaded at: 09 Sep 2015, 12:00,
The Peanuts Movie 2015 DVDSCR XViD-ETRG, magnet:?xt=urn:btih:8E8072B06DC9F6116B4040BB346C272B7E1721C8&dn=the+peanuts+movie+2015+dvdscr+xvid+etrg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/8E8072B06DC9F6116B4040BB346C272B7E1721C8.torrent?title=[kat.cr]the.peanuts.movie.2015.dvdscr.xvid.etrg, 706.28 MB, Seeders: 5197, Leechers: 1887, Updated at: 04 Jan 2016, 08:29, Uploaded at: 17 Dec 2015, 22:30,
Hotel Transylvania 2 2015 1080p BluRay AC3 x264-ETRG, magnet:?xt=urn:btih:7361E14A3418ECFD364799AED25069772AEEB53B&dn=hotel+transylvania+2+2015+1080p+bluray+ac3+x264+etrg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/7361E14A3418ECFD364799AED25069772AEEB53B.torrent?title=[kat.cr]hotel.transylvania.2.2015.1080p.bluray.ac3.x264.etrg, 2.4 GB, Seeders: 3474, Leechers: 4129, Updated at: 04 Jan 2016, 08:14, Uploaded at: 01 Jan 2016, 00:02,
The Martian 2015 1080p WEB-DL DD5 1 H264-RARBG, magnet:?xt=urn:btih:0EFF4A129D185F91E28AE61CFAA2A4D2F5C6E429&dn=the+martian+2015+1080p+web+dl+dd5+1+h264+rarbg&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/0EFF4A129D185F91E28AE61CFAA2A4D2F5C6E429.torrent?title=[kat.cr]the.martian.2015.1080p.web.dl.dd5.1.h264.rarbg, 4.7 GB, Seeders: 4900, Leechers: 932, Updated at: 04 Jan 2016, 09:44, Uploaded at: 22 Dec 2015, 01:13,
The Revenant (2015) DVDSCR x264 DD5.1-NoGrp, magnet:?xt=urn:btih:1AB4452ABF19D7CA04FDAE56CBD7340EFDA84A97&dn=the+revenant+2015+dvdscr+x264+dd5+1+nogrp&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/1AB4452ABF19D7CA04FDAE56CBD7340EFDA84A97.torrent?title=[kat.cr]the.revenant.2015.dvdscr.x264.dd5.1.nogrp, 2.27 GB, Seeders: 6009, Leechers: 712, Updated at: 04 Jan 2016, 08:14, Uploaded at: 19 Dec 2015, 19:24,
Star Wars: Episode VI - Return of the Jedi (1983) 1080p BrRip x264 - YIFY, magnet:?xt=urn:btih:C92F656155D0D8E87D21471D7EA43E3AD0D42723&dn=star+wars+episode+vi+return+of+the+jedi+1983+1080p+brrip+x264+yify&tr=udp%3A%2F%2Ftracker.istole.it%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce, http://torcache.net/torrent/C92F656155D0D8E87D21471D7EA43E3AD0D42723.torrent?title=[kat.cr]star.wars.episode.vi.return.of.the.jedi.1983.1080p.brrip.x264.yify, 1.8 GB, Seeders: 4622, Leechers: 539, Updated at: 04 Jan 2016, 09:14, Uploaded at: 23 Mar 2013, 07:14,
